Trigger_Name,Actual_lumi,Effective_lumi,First_run,Last_run,datasets
HLT_PFHT280_QuadPFJet30_PNet2BTagMean0p55_v,21,21,367661,370790,ParkingHH
HLT_PFHT250_v,27.2,0.0066,366403,370790,"JetMET[0,1]"
HLT_PFHT180_v,27.2,0.0024,366403,370790,"JetMET[0,1]"
HLT_PFHT1050_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_Mu8_v,27.2,0.0058,366403,370790,"Muon[0,1]"
HLT_Mu8_TrkIsoVVL_v,27.2,0.0058,366403,370790,"Muon[0,1]"
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v,27.2,1.7,366403,370790,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v,27.2,27.2,366403,370790,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_QuadPFJet70_50_40_30_v,6.2,6.1,366403,367619,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_QuadPFJet70_50_40_30_PFBTagParticleNet_2BTagSum0p65_v,6.2,6.1,366403,367619,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFHT280_v,21,21,367661,370790,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFHT280_QuadPFJet30_v,21,21,367661,370790,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFHT280_QuadPFJet30_PNet2BTagMean0p55_v,21,21,367661,370790,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFDiJet30_v,27.2,27.2,366403,370790,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFDiJet30_PNet2BTagMean0p50_v,21,21,367661,370790,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFDiJet30_PFBTagParticleNet_2BTagSum0p65_v,6.2,6.1,366403,367619,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFDiJet30_PFBtagDeepJet_1p5_v,27.2,27.2,366403,370790,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_DoubleAK4PFJet60_30_v,27.2,27.2,366403,370790,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_DoubleAK4PFJet60_30_PNet2BTagMean0p50_v,27.2,27.2,366403,370790,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_CaloDiJet30_v,27.2,27.2,366403,370790,MuonEG
HLT_Mu8_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v,27.2,27.2,366403,370790,"Muon[0,1], ParkingVBF[0-7]"
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT350_v,27.2,5.4,366403,370790,MuonEG
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT350_DZ_v,27.2,27.2,366403,370790,MuonEG
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v,27.2,27.2,366403,370790,MuonEG
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_DZ_v,27.2,27.2,366403,370790,MuonEG
HLT_Mu7p5_L2Mu2_Upsilon_v,27.2,0.018,366403,370790,"ParkingDoubleMuonLowMass[0-7], ReservedDoubleMuonLowMass"
HLT_Mu7p5_L2Mu2_Jpsi_v,27.2,0.018,366403,370790,"ParkingDoubleMuonLowMass[0-7], ReservedDoubleMuonLowMass"
HLT_Mu6HT240_DisplacedDijet50_Inclusive0PtrkShortSig5_v,27.2,27.2,366403,370790,DisplacedJet
HLT_Mu6HT240_DisplacedDijet45_Inclusive0PtrkShortSig5_v,27.2,27.2,366403,370790,DisplacedJet
HLT_Mu6HT240_DisplacedDijet40_Inclusive1PtrkShortSig5_DisplacedLoose_v,27.2,27.2,366403,370790,DisplacedJet
