Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_PFHT400_SixPFJet32_PNet2BTagMean0p50,33,9.5,9.5,ParkingHH,54677,0.06035444519633484
HLT_Ele50_IsoVVVL_PFHT450,33,27.2,27.2,"EGamma[0,1]",54677,0.06035444519633484
HLT_Ele15_IsoVVVL_PFHT450_PFMET50,32,27.2,27.2,"EGamma[0,1]",54677,0.05852552261462772
HLT_DoubleEle6_eta1p22_mMax6_dz0p8,32,19.3,19.3,ParkingDoubleElectronLowMass,54677,0.05852552261462772
HLT_BTagMu_AK4Jet300_Mu5,32,27.2,27.2,BTagMu,54677,0.05852552261462772
HLT_DoubleEle27_CaloIdL_MW,31,27.2,27.2,"EGamma[0,1]",54677,0.056696600032920604
HLT_Mu6HT240_DisplacedDijet30_Inclusive1PtrkShortSig5_DisplacedLoose,31,27.2,27.2,DisplacedJet,54677,0.056696600032920604
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ,30,27.2,27.2,"EGamma[0,1]",54677,0.05486767745121349
HLT_Mu6HT240_DisplacedDijet35_Inclusive0PtrkShortSig5,30,27.2,27.2,DisplacedJet,54677,0.05486767745121349
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p55,29,21.0,21.0,"JetMET[0,1]",54677,0.05303875486950638
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40,29,27.2,27.2,"EGamma[0,1]",54677,0.05303875486950638
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40,28,27.2,27.2,"EGamma[0,1]",54677,0.05120983228779926
HLT_VBF_DiPFJet75_40_Mjj500_Detajj2p5_PFMET85_TriplePFJet,26,21.0,21.0,ParkingVBF[0-7],54677,0.04755198712438503
HLT_Mu6HT240_DisplacedDijet35_Inclusive1PtrkShortSig5_DisplacedLoose,25,27.2,27.2,DisplacedJet,54677,0.04572306454267791
HLT_VBF_DiPFJet90_40_Mjj600_Detajj2p5_Mu3_TrkIsoVVL_TriplePFJet,25,21.0,21.0,ParkingVBF[0-7],54677,0.04572306454267791
HLT_MET105_IsoTrk50,24,27.2,27.2,"JetMET[0,1]",54677,0.043894141960970794
HLT_TripleJet110_35_35_Mjj650_PFMET120,23,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",54677,0.04206521937926368
HLT_DoubleEle33_CaloIdL_MW,23,27.2,27.2,"EGamma[0,1]",54677,0.04206521937926368
HLT_PFMET300_NotCleaned,23,27.2,27.2,"JetMET[0,1]",54677,0.04206521937926368
HLT_Ele24_eta2p1_WPTight_Gsf_LooseDeepTauPFTauHPS30_eta2p1_CrossL1,22,27.2,27.2,"EGamma[0,1]",54677,0.04023629679755656
HLT_HT420_L1SingleLLPJet_DisplacedDijet60_Inclusive,21,27.2,27.2,DisplacedJet,54677,0.038407374215849444
HLT_Mu6HT240_DisplacedDijet40_Inclusive0PtrkShortSig5,21,27.2,27.2,DisplacedJet,54677,0.038407374215849444
HLT_Mu6HT240_DisplacedDijet40_Inclusive1PtrkShortSig5_DisplacedLoose,21,27.2,27.2,DisplacedJet,54677,0.038407374215849444
HLT_Ele15_IsoVVVL_PFHT600,20,27.2,27.2,"EGamma[0,1]",54677,0.03657845163414233
HLT_HT430_DelayedJet40_SingleDelay1p5nsTrackless,19,9.5,9.5,DisplacedJet,54677,0.03474952905243521
HLT_Mu8_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT300_PFMETNoMu60,19,27.2,27.2,"Muon[0,1], ParkingVBF[0-7]",54677,0.03474952905243521
HLT_HT170_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack,19,27.2,27.2,DisplacedJet,54677,0.03474952905243521
HLT_DoubleMu4_3_LowMass,19,27.2,27.2,ParkingDoubleMuonLowMass[0-7],54677,0.03474952905243521
HLT_HT200_L1SingleLLPJet_DelayedJet40_SingleDelay1nsTrackless,18,27.2,27.2,DisplacedJet,54677,0.032920606470728093
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p60,17,21.0,21.0,"JetMET[0,1]",54677,0.031091683889020977
HLT_MET120_IsoTrk50,16,27.2,27.2,"JetMET[0,1]",54677,0.02926276130731386
HLT_PFMET105_IsoTrk50,16,27.2,27.2,"JetMET[0,1]",54677,0.02926276130731386
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40_PNetBB0p06,16,21.0,21.0,"EGamma[0,1]",54677,0.02926276130731386
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350,15,27.2,27.2,"EGamma[0,1]",54677,0.027433838725606743
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40_PNetBB0p06,15,21.0,21.0,"EGamma[0,1]",54677,0.027433838725606743
